last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Rendon, Anthony,543685,LAA,CH,Changeup,9.4,6,62,7,19,0.471,0.941,0.605,13.3,5.3,5.6,0.446,0.839,0.559,56.3
Castro, Jason,488771,SD,SIFT,Sinker,-0.8,0,57,14,19,0.125,0.25,0.242,27.3,26.3,35.7,0.228,0.365,0.324,54.5
Miller, Brad,543543,STL,CUKC,Curveball,2.6,2,84,11.9,19,0.235,0.471,0.337,27.6,26.3,20,0.167,0.276,0.24,33.3
Murphy, Daniel,502517,COL,CH,Changeup,3.6,2,48,9.9,19,0.25,0.438,0.358,8.3,10.5,10.5,0.263,0.391,0.345,28.6
Tucker, Kyle,663656,HOU,CUKC,Curveball,2.2,2,90,10.4,19,0.316,0.474,0.339,25.7,15.8,11.1,0.225,0.304,0.228,43.8
Inciarte, Ender,542255,ATL,CUKC,Curveball,0.4,0,68,12.6,19,0.235,0.294,0.282,33.3,36.8,23.3,0.136,0.159,0.191,0
Franco, Maikel,596748,KC,CUKC,Curveball,2.8,3,109,11.5,19,0.313,0.625,0.405,51.1,26.3,13.2,0.288,0.433,0.345,25
Fuentes, Joshua,658069,COL,SL,Slider,1.4,1,67,17.6,19,0.389,0.5,0.453,26.3,15.8,12.5,0.298,0.351,0.307,20
Núñez, Renato,600524,BAL,FC,Cutter,0.9,1,77,8.6,19,0.278,0.5,0.397,24.4,26.3,21.7,0.259,0.389,0.301,38.5
Smith, Pavin,656976,ARI,FF,4-Seamer,1.4,1,69,43.4,19,0.357,0.714,0.479,16.7,5.3,9.1,0.406,0.755,0.533,50
Arraez, Luis,650333,MIN,SIFT,Sinker,-0.4,0,89,17.4,19,0.333,0.389,0.387,13,10.5,10,0.273,0.416,0.316,25
Lopes, Tim,621005,SEA,CUKC,Curveball,0.2,0,68,11.9,19,0.263,0.316,0.255,22.2,21.1,14.8,0.206,0.36,0.243,33.3
Gyorko, Jedd,576397,MIL,CH,Changeup,-0.5,0,90,15.9,19,0.176,0.529,0.332,39.5,36.8,22.6,0.193,0.457,0.315,40
Perez, Salvador,521692,KC,CUKC,Curveball,-0.4,0,68,12.1,19,0.263,0.421,0.292,28.1,15.8,11.1,0.342,0.594,0.391,37.5
Moore, Dylan,664238,SEA,CH,Changeup,-1.4,-1,82,12.5,19,0.111,0.278,0.189,38.9,47.4,29,0.148,0.223,0.186,22.2
Martínez, José,500874,CHC,SL,Slider,-3,-2,78,19.8,19,0.167,0.167,0.179,43.3,42.1,30.8,0.197,0.282,0.235,30
Longoria, Evan,446334,SF,FC,Cutter,-4.6,-3,69,8.7,19,0.158,0.474,0.258,26.5,21.1,19,0.158,0.408,0.234,33.3
Pinder, Chad,640461,OAK,FF,4-Seamer,-0.8,-1,80,35.7,19,0.167,0.5,0.295,16.3,21.1,18.2,0.162,0.505,0.294,35.7
Ruf, Darin,573131,SF,CUKC,Curveball,0.5,0,50,11.9,19,0.222,0.5,0.368,43.5,42.1,33.3,0.191,0.336,0.246,50
Knapp, Andrew,595284,PHI,SIFT,Sinker,-1.6,-1,70,20.3,19,0.133,0.133,0.289,29,26.3,27.8,0.172,0.235,0.287,20
Butera, Drew,460077,COL,FF,4-Seamer,-4.8,-3,63,34.1,19,0.125,0.125,0.178,12.1,15.8,18.8,0.074,0.139,0.159,7.1
Betts, Mookie,605141,LAD,CUKC,Curveball,-1.8,-2,91,9.8,19,0.111,0.111,0.179,21.4,36.8,20,0.159,0.206,0.189,27.3
Pham, Tommy,502054,SD,SL,Slider,-1.1,-1,85,17,19,0.176,0.353,0.274,40,26.3,22.7,0.272,0.521,0.373,50
Cameron, Daz,663662,DET,SL,Slider,-1.4,-1,78,32.9,19,0.222,0.222,0.226,32.4,31.6,19.4,0.184,0.227,0.205,8.3
García, Luis,671277,WSH,CH,Changeup,-1.4,-1,76,15,19,0.222,0.333,0.263,41.7,21.1,22.2,0.217,0.264,0.241,0
Odom, Joseph,641929,SEA,FF,4-Seamer,-4.5,-4,99,50.8,19,0,0,0.128,36.4,52.6,37,0.096,0.125,0.166,14.3
Suárez, Eugenio,553993,CIN,FC,Cutter,5.1,4,73,7.3,19,0.375,0.813,0.576,36.6,26.3,22.7,0.293,0.662,0.445,36.4
Lindor, Francisco,596019,CLE,CUKC,Curveball,-1.8,-2,126,11.3,19,0.278,0.389,0.311,30.2,31.6,15.4,0.242,0.28,0.254,25
Naylor, Josh,647304,CLE,SL,Slider,0.4,0,86,22.6,19,0.176,0.353,0.274,23.4,21.1,16,0.289,0.562,0.393,38.5
Bregman, Alex,608324,HOU,FC,Cutter,0.5,0,66,9,19,0.235,0.294,0.282,11.1,5.3,5.3,0.243,0.289,0.282,18.8
Goodrum, Niko,592348,DET,SIFT,Sinker,-1.4,-1,101,13,19,0.235,0.471,0.339,34.1,42.1,27.6,0.206,0.453,0.319,44.4
García, Luis,671277,WSH,CUKC,Curveball,-1,-1,76,15,19,0.316,0.368,0.303,40.5,26.3,22.7,0.326,0.463,0.34,50
Calhoun, Willie,641432,TEX,SL,Slider,0.1,0,86,20.5,19,0.118,0.118,0.168,21.1,31.6,17.1,0.168,0.266,0.238,54.5
Pillar, Kevin,607680,COL,CUKC,Curveball,-1,-1,86,10.4,19,0.278,0.278,0.274,38.9,26.3,20,0.278,0.333,0.295,30.8
Longoria, Evan,446334,SF,CH,Changeup,1.1,1,65,8.2,19,0.278,0.278,0.274,32.4,21.1,18.2,0.31,0.375,0.317,57.1
Stevenson, Andrew,664057,WSH,FF,4-Seamer,1.4,1,61,31.9,19,0.353,0.765,0.489,14.3,21.1,20,0.263,0.462,0.344,46.2
Arroyo, Christian,624414,BOS,FF,4-Seamer,0.8,1,69,35.4,19,0.188,0.375,0.311,30.3,26.3,29.4,0.251,0.509,0.378,63.6
Rosario, Amed,642708,NYM,SIFT,Sinker,-3.2,-2,74,14.1,19,0.118,0.118,0.168,16.1,15.8,33.3,0.228,0.316,0.285,57.1
Joyce, Matt,459964,MIA,CUKC,Curveball,-1.3,-1,95,15.8,19,0.211,0.211,0.237,37.8,36.8,28,0.217,0.31,0.224,58.3
Santana, Carlos,467793,CLE,FC,Cutter,-4.5,-3,56,5,19,0.056,0.222,0.142,10,10.5,12.5,0.258,0.573,0.369,43.8
Gardner, Brett,458731,NYY,CUKC,Curveball,1.7,1,76,11.6,19,0.2,0.6,0.368,32.3,31.6,25,0.19,0.403,0.306,30
Gosselin, Phil,594838,PHI,CH,Changeup,2.1,1,64,15.3,19,0.118,0.176,0.234,29.6,36.8,33.3,0.121,0.154,0.182,10
McCann, James,543510,CWS,SIFT,Sinker,1.8,1,73,16.2,19,0.412,0.471,0.387,20,15.8,17.6,0.26,0.315,0.282,40
Lin, Tzu-Wei,624407,BOS,FF,4-Seamer,-3,-3,99,44.8,19,0.188,0.188,0.216,13,21.1,15.4,0.226,0.266,0.256,15.4
Goodwin, Brian,571718,CIN,CUKC,Curveball,-2.3,-3,110,16.1,19,0.111,0.167,0.113,56.3,68.4,32.5,0.128,0.166,0.127,33.3
